sheet,nj,bk,kfc,roys,wendys,co_owned,southj,centralj,northj,pa1,pa2,wage,fte_obs,post
46,0,1,0,0,0,0,0,0,0,1,0,,40.5,0
49,0,0,1,0,0,0,0,0,0,1,0,,13.75,0
506,0,0,1,0,0,1,0,0,0,1,0,,8.5,0
56,0,0,0,0,1,1,0,0,0,1,0,5.0,34.0,0
61,0,0,0,0,1,1,0,0,0,1,0,5.5,24.0,0
62,0,0,0,0,1,1,0,0,0,1,0,5.0,20.5,0
445,0,1,0,0,0,0,0,0,0,0,1,5.0,70.5,0
451,0,1,0,0,0,0,0,0,0,0,1,5.0,23.5,0
455,0,0,1,0,0,1,0,0,0,0,1,5.25,11.0,0
458,0,0,1,0,0,1,0,0,0,1,0,5.0,9.0,0
462,0,0,0,1,0,1,0,0,0,0,1,5.0,15.5,0
468,0,1,0,0,0,0,0,0,0,0,1,5.0,58.0,0
469,0,1,0,0,0,0,0,0,0,0,1,5.0,26.5,0
470,0,1,0,0,0,0,0,0,0,0,1,5.5,28.5,0
474,0,1,0,0,0,0,0,0,0,0,1,5.0,13.5,0
481,0,0,1,0,0,1,0,0,0,0,1,5.25,16.75,0
483,0,0,1,0,0,1,0,0,0,0,1,5.0,9.5,0
487,0,0,0,1,0,1,0,0,0,0,1,5.0,15.0,0
488,0,0,0,1,0,0,0,0,0,0,1,5.0,29.5,0
489,0,0,0,1,0,0,0,0,0,0,1,5.0,18.5,0
490,0,0,0,1,0,1,0,0,0,0,1,5.0,20.25,0
493,0,0,0,1,0,1,0,0,0,1,0,5.0,36.0,0
495,0,0,0,1,0,0,0,0,0,0,1,5.0,21.0,0
496,0,0,0,1,0,1,0,0,0,0,1,5.0,20.5,0
499,0,0,0,0,1,1,0,0,0,0,1,5.0,19.0,0
509,0,0,0,1,0,1,0,0,0,0,1,5.0,14.0,0
515,0,0,0,1,0,1,0,0,0,0,1,5.0,19.0,0
37,0,1,0,0,0,0,0,0,0,1,0,4.25,32.5,0
39,0,1,0,0,0,0,0,0,0,1,0,4.25,19.0,0
40,0,1,0,0,0,0,0,0,0,1,0,4.25,27.0,0
41,0,1,0,0,0,0,0,0,0,1,0,4.25,19.5,0
42,0,1,0,0,0,0,0,0,0,1,0,4.5,24.0,0
45,0,1,0,0,0,0,0,0,0,1,0,4.25,18.0,0
47,0,1,0,0,0,0,0,0,0,1,0,4.5,,0
48,0,1,0,0,0,0,0,0,0,1,0,4.25,19.0,0
50,0,0,1,0,0,0,0,0,0,1,0,4.5,14.0,0
51,0,0,1,0,0,0,0,0,0,1,0,4.25,10.5,0
57,0,0,0,0,1,1,0,0,0,1,0,4.67,38.0,0
58,0,0,0,0,1,1,0,0,0,1,0,4.75,23.5,0
59,0,0,0,0,1,0,0,0,0,1,0,4.25,10.5,0
60,0,0,0,0,1,0,0,0,0,1,0,4.25,25.0,0
407,0,0,1,0,0,1,0,0,0,0,1,4.75,11.0,0
430,0,1,0,0,0,0,0,0,0,1,0,4.25,36.5,0
432,0,1,0,0,0,0,0,0,0,1,0,4.5,52.5,0
433,0,1,0,0,0,0,0,0,0,1,0,4.25,29.0,0
434,0,1,0,0,0,0,0,0,0,1,0,4.25,45.0,0
435,0,1,0,0,0,0,0,0,0,1,0,4.25,22.75,0
438,0,0,1,0,0,0,0,0,0,1,0,4.25,7.5,0
440,0,0,0,0,1,0,0,0,0,1,0,4.25,15.5,0
441,0,0,0,0,1,0,0,0,0,1,0,4.25,38.0,0
443,0,0,0,0,1,0,0,0,0,1,0,4.25,17.5,0
444,0,0,0,0,1,0,0,0,0,1,0,4.25,25.0,0
446,0,1,0,0,0,0,0,0,0,0,1,4.5,,0
448,0,1,0,0,0,0,0,0,0,0,1,4.75,21.0,0
449,0,1,0,0,0,0,0,0,0,0,1,4.87,15.5,0
450,0,1,0,0,0,0,0,0,0,0,1,4.75,15.5,0
454,0,0,1,0,0,1,0,0,0,0,1,4.5,8.5,0
459,0,0,0,1,0,1,0,0,0,0,1,4.25,18.0,0
466,0,0,0,0,1,0,0,0,0,0,1,4.75,20.75,0
471,0,1,0,0,0,0,0,0,0,0,1,4.25,39.0,0
472,0,1,0,0,0,0,0,0,0,0,1,4.25,41.5,0
473,0,1,0,0,0,0,0,0,0,0,1,4.75,22.5,0
475,0,1,0,0,0,0,0,0,0,0,1,4.5,32.0,0
